Ref,Val,Package,PosX,PosY,Rot,Side
"J2","PIN HEADER","Molex_KK-6410-09_09x2.54mm_Straight",115.925000,-100.175000,0.000000,top
"PAJ7025R3","~","PAJ7025R3",125.925000,-83.700000,0.000000,top
