"Reference","Value","Datasheet","Footprint","Qty","DNP"
"J2","PIN HEADER","~","Library:Molex_KK-6410-09_09x2.54mm_Straight","1",""
"PAJ7025R3","~","","Library:PAJ7025R3","1",""
